latitude,longitude,altitude,geometry,uwi,lease,operator,fake_number
32.145699,-102.384383,,Point,4.20E+13,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,28
32.41777,-102.76983,,Point,4.20E+13,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,93
32.22499,-102.644102,,Point,4.20E+13,GRAY COLUMBUS ET AL,BREITBURN OPERATING LIMITED PARTNERSHIP,13
32.200483,-102.692271,,Point,4.20E+13,TEXAS UNIVERSITY CONS,THOMPSON J CLEO,20
32.163421,-103.055313,,Point,4.20E+13,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,6
32.188688,-102.57571,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,71
32.123922,-103.047152,,Point,4.20E+13,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,90
32.187778,-102.579722,,Point,4.20E+13,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,39
32.43044,-102.865261,,Point,4.20E+13,RALPH A,DEVON ENERGY PRODUCTION COMPANY L P,91
32.216491,-102.228096,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,88
32.167444,-103.051028,,Point,4.20E+13,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,56
32.167154,-103.055651,,Point,4.20E+13,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,20
32.198666,-102.246426,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,2
32.210909,-102.234793,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,30
32.199624,-102.242549,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,61
32.20955,-102.24979,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,94
32.206681,-102.244635,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,3
32.247039,-102.224449,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,93
32.214695,-102.236078,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,26
32.236921,-102.251995,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,29
32.231551,-102.259425,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,68
32.456945,-102.808068,,Point,4.20E+13,BITLER,CONOCOPHILLIPS COMPANY,8
32.479472,-102.800075,,Point,4.20E+13,BITLER DEEP,CONOCOPHILLIPS COMPANY,83
32.184995,-102.574448,,Point,4.20E+13,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,7
32.184615,-102.762583,,Point,4.20E+13,GOLDSMITH NORTH (SAN ANDRES CONSOL) UT,PECOS OPERATING COMPANY LLC,84
32.143133,-102.38154,,Point,4.20E+13,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,46
32.185457,-103.05141,,Point,4.20E+13,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,62
32.117411,-103.042878,,Point,4.20E+13,DOLLARHIDE UNIT,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,99
